ion,num,mass,charge,peak_MNRatio,peak_width,cutoff_bin,cutoff_height,cutoff_width
['Mg'],['1'],['24.32'],['2+'],12,2,0.01,250,5
['Mg'],['1'],['24.32'],['2+'],12.5,2,0.01,250,5
['Mg'],['1'],['24.32'],['2+'],13,2,0.01,250,5
['Mg'],['1'],['24.32'],['1+'],24,1,0.01,100,5
['Mg'],['1'],['24.32'],['1+'],25,1,0.01,100,5
['Mg'],['1'],['24.32'],['1+'],26,1,0.01,100,5
['Gd'],['1'],['157.26'],['2+'],80,5,0.1,3,10
